Иероглиф,Основное значение,Дополнительное значение,Примечание
研,тереть,,
砖,кирпич,,
厘,капелька,,
厚,толстый,,
砌,ступени,,
砂,песок,,
泵,помпа,,
砚,каменная тушечница,,
砍,рубить,,
面,лицо,,
耐,осить,,
耍,играть,,
牵,тянуть,,
鸥,чайка,,
残,испорченный,,
殃,беда,,
轴,ось,,
轻,лёгкий,,
鸦,ворона,,
皆,обобщающее слово,,
韭,душистый лук,,
背,спина,нести на спине,
战,война,,
点,капля,,
虐,жестокий,,
临,приближаться,находиться перед,
览,смотреть,,
竖,вертикальный,,
省,провинция,экономить; сокращать,
削,срезать,,
尝,отведывать,,
昧,тёмный,,
盹,вздремнуть,,
是,быть,это,
盼,надеяться,,
眨,в мгновение ока,,
哇,звукоподражание бойкой речи,,
哄,подражание крику,,
哑,немой,,
显,ясный,,
冒,выступать,,
映,сиять,,
星,звезда,,
昨,вчерашний день,,
咧,кривить,,
昭,светлый,,
畏,бояться,,
趴,лежать ничком,,
胃,желудок,,
贵,дорогой,,
界,граница,,
虹,радуга,,
虾,рак,,
蚁,муравей,,
思,думать,,
蚂,только в соч. 蚂蚁,,
虽,уступительный и условно-уступительный союз,,
品,вещь,,
咽,отка,,
骂,выбранил его,,
勋,заслуга,,
哗,трах!,,
咱,я,,
响,эхо,,
哈,звукоподражание смеху,,
哆,"нота ""до""",,
咬,кусать,,
咳,кхэ!,,
咪,звукоподражание мяуканью,,
哪,какой?,,
哟,модальная частица на конце предложения,,
炭,уголь,,
峡,узкое место,,
罚,штрафовать,,
贱,дешёвый,,
贴,приклеить,,
贻,дарить,,
骨,кость,,
幽,тёмный,,
钙,кальций,,
钝,тупой,,
钞,бумажные деньги,,
钟,колокол,,
钢,сталь,,
钠,натриевое облако,,
钥,замок,,
钦,уважать,,
钧,цзюнь,,
钩,крюк,,
钮,ручка,,
卸,выгружать,,
缸,чан,цилиндр,
拜,кланяться,,
看,смотреть,,
矩,угольник,,
毡,войлок,,
氢,ион водорода,,
怎,как,,
牲,животное,,
选,выбирать,,
适,годиться,,
秒,секунда,,
香,приятный запах,,
种,вид,сажать,
秋,осень,,
科,раздел,,
重,тяжёлый,снова,полифония zhòng / chóng
复,возвращаться,,
竿,удилище,,
段,отрезок,,
便,удобный,тогда; сразу,
俩,два,,
贷,давать взаймы,,
顺,послушный,,
修,чинить,,
俏,красивый,,
保,защищать,,
促,понуждать,,
俄,неожиданный,,
俐,смышлёный,,
侮,обижать,,
俭,экономный,,
俗,нравы,,
俘,полонить,,
信,верить,,
皇,император,,
泉,родник,,
鬼,дух,,
侵,захватывать,,
禹,Юйсянь,,
侯,хоу,,
追,преследовать,догонять,
俊,лучший,,
盾,щит,,
待,ждать,,
徊,колебаться,,
衍,растекаться,,
律,закон,,
很,очень хорошо,,
须,усы,,
叙,излагать,,
剑,меч,,
逃,бежать,,
食,пища,,
盆,таз,,
胚,биол. зародыш,,
胧,туманный,,
胆,жёлчный пузырь,,
胜,худой,,
胞,детское место,,
胖,толстый,,
脉,артерия,,
胎,зародыш,,
勉,агать усилия,,
狭,узкий,,
狮,львы и слоны,,
独,один только,,
狰,мифический зверь,,
狡,хитрый,,
狱,тюрьма,,
狠,свирепый,,
贸,на базары утром ехать торговать,,
怨,обижаться,,
急,быстрый,,
饵,приманка,,
饶,богатый,,
蚀,затмение,,
饺,только в сочетании,,
饼,лепёшка,,
峦,невысокий пик,,
弯,гнуться,,
将,полководец,,
奖,премировать,,
哀,скорбеть,,
亭,беседка,,
亮,светлый,,
度,градус,,
迹,след,,
庭,внутренний двор,,
疮,нарыв,,
疯,сумасшествие,,
疫,эпизоотия,,
疤,шрам,,
咨,отношение,,
姿,вид,,
亲,родители,,
音,звук,,
帝,император,,
施,применять,,
闺,женская половина дома,,
闻,слышать,,
闽,провинция Фуцзянь,,
阀,клапан,знать; клан,
阁,дворец,,
差,разница,плохой; недостаточный,
养,кормить,,
美,красивый,,
姜,имбирь,,
叛,бунтовать,,
送,посылать,,
类,вид,,
迷,заблуждаться,,
籽,семя,,
娄,полый,,
前,перёд,,
首,голова,,
逆,обратный,,
兹,указательное местоимение,,
总,собираться вместе,,
炼,отливать,,
炸,разрываться,,
烁,яркий,,
炮,подсушивать,,
炫,сиять,,
烂,развариваться,,
剃,брить брови,,
洼,впадина,,
洁,чистый,,
洪,большой,,
洒,поливать,,
柒,семь,,
浇,поливать,,
浊,мутный,,
洞,пещера,,
测,измерять,,
洗,мыть,,
活,живой,,
派,/счётное слово,,
洽,намачивать,,
染,окрашиваться,,
洛,река Ло,,
浏,прозрачный,,
济,помогать,,
洋,океан,,
洲,часть света,,
浑,мутный,,
浓,густой,,
津,переправа,,
恃,доверяться,,
恒,долгий,,
恢,широкий,,
恍,неясный,,
恬,спокойный,,
恤,жалеть,,
恰,такой,,
恼,сердиться,,
恨,ненавидеть,,
举,поднимать,,
觉,чувствовать,спать,
宣,объявлять,,
宦,евнух,,
室,комната,,
宫,дворец,,
宪,правило,,
突,неожиданно,,
穿,надевать,,
窃,заниматься кражами,,
客,гость,,
诫,предостерегать,,
冠,шапка,,
诬,клевета,,
语,слова,,
扁,плоский,,
袄,красная куртка и зелёные штаны,,
祖,предок,,
神,дух,,
祝,поздравлять,,
祠,храм,,
误,опаздывать,,
诱,соблазнять,,
诲,учить,,
说,говорить,,
诵,читать,,
垦,вспахивать,,
退,отступать,,
既,уже,,
屋,комната,,
昼,день,,
屏,экран,,
屎,испражнения,,
费,расходы,,
陡,крутой,,
逊,уходить,,
眉,брови,,
孩,ребёнок,,
陨,падать,,
除,ог в конструкциях исключения,,
险,крутой,,
院,двор,,
娃,красивая девочка,,
姥,кормилица,,
姨,свояченица,,
姻,брак,,
娇,/наречие,,
姚,прелестный,,
娜,изящная,в женских именах,
怒,гнев,,
架,полка,,
贺,поздравлять,,
盈,полный,,
勇,храбрый,,
怠,лениться,,
癸,гуй,,
蚤,ногти,,
柔,мягкий,,
垒,вал,,
绑,связывать,,
绒,мягкая шерсть,,
结,вязать,,
绕,обвязывать,,
骄,гордый,,
绘,рисовать,,
给,давать,,
绚,украшать узорами,,
骆,белая лошадь с черной гривой,,
络,грубое волокно,,
绝,обрываться,,
绞,вить,,
骇,пугаться,,
统,объединять,,
耕,пахать,,
耘,полоть,,
耗,уменьшаться,,
耙,с.-х. борона,,
艳,полный красоты,,
泰,великий,,
秦,Цинь,,
珠,жемчуг,,
班,группа,,
素,некрашеный чистый белый шёлк,,
匿,скрываться,,
蚕,гусеница тутового шелкопряда,,
顽,тупой,,
盏,чашка,,
匪,бандит,,
捞,извлекать,,
栽,сажать,,
捕,ловить,,
埂,плотина,,
捂,заткни уши,,
振,колыхать,,
载,грузиться,,
赶,следовать за,,
起,подниматься,,
盐,поваренная соль,,
捎,задеть,,
捍,защищать,,
捏,брать в щепоть,,
埋,закапывать,,
捉,хватать,,
捆,связывать,,
捐,отбрасывать,,
损,уменьшаться,,
袁,Юаньцзян,,
捌,восемь,,
都,все,столица,полифония dōu / dū
哲,мудрый,,
逝,уходить,,
捡,подбирать,,
挫,ломать,,
换,менять,,
挽,тянуть,,
挚,искренний,,
热,жаркий,,
恐,бояться,,
捣,толочь,,
壶,чайник,,
捅,ударять,,
埃,пыль,,
挨,подвергаться,,
耻,стыд,,
耿,светлый,,
耽,большой,,
聂,шептать,,
恭,уважать,,
莽,густые травы,,
莱,поле под паром,,
莲,лотос,,
莫,не,никто,
莉,только в сочетании,,
荷,лотос,,
获,получать,,
晋,провинция Шаньси,,
恶,зло,,
莹,самоцвет,,
莺,иволга,,
真,истинный,,
框,рама,,
梆,колотушка,,
桂,коричное дерево коричного дерева,,
桔,журавль,,
栖,сидеть,,
档,архив,,
桐,тунг,,
株,комель,,
桥,мост,,
桦,берёза,,
栓,деревянная затычка,,
桃,персик,,
格,рама,,
桩,столб,,
校,сопоставлять,,
核,косточка плода,,
样,образец,,
根,корень растения,,
索,жгут,,
哥,старший брат,,
速,скорый,,
逗,задерживаться,,
栗,каштан Бунге,,
贾,торговать,,
酌,наливать,,
配,составлять пару,,
翅,крыло,,
辱,позор,,
唇,губа,,
夏,лето,,
砸,раздавливать,,
砰,грохот,,
砾,песок и гравий,,
础,фундамент,,
破,рваться,,
原,ключ,,
套,комплект,,
逐,гнать,,
烈,пылающий,,
殊,в высшей степени,,
殉,жертвовать,,
顾,оглядываться,заботиться; учитывать,
轿,разукрашенный] паланкин невесты,,
较,сравнивать,,
顿,останавливаться,,
毙,падать мёртвым,,
致,направлять,,
柴,дрова,,
桌,стол,,
虑,думать,,
监,смотреть сверху на,,
紧,сильный,,
党,партия,,
逞,важничать,,
晒,сушить на солнце,,
眠,спать,,
晓,рассвет,,
哮,реветь,,
唠,говорить,,
鸭,утка,,
晃,сиять,,
哺,кормиться,,
晌,полдень,,
剔,ковыряться в,,
晕,ореол,,
蚌,жемчужная устрица,,
畔,межа,,
蚣,сороконожка,,
蚊,комар,,
蚪,только в сочетании,,
蚓,дождевые черви и лягушки,,
哨,дозор,,
哩,миля,модальная частица,
圃,огород,,
哭,рыдать,,
哦,читать нараспев,,
恩,милость,,
鸯,мандаринская утка,,
唤,звать,,
唁,соболезновать,,
哼,стонать,,
唧,нагнетать,,
啊,ах,а?; ну?,
唉,выражает досаду или сожаление,,
唆,подстрекать,,
罢,останавливаться,,
峭,отвесный,,
峨,высокий,,
峰,горный пик,,
圆,круглый,,
峻,высокий,,
贼,вор,,
贿,взятка,,
赂,подарок,,
赃,взятка,,
钱,деньги,,
钳,щипцы,,
钻,сверло,,
钾,калий,,
铁,железо,,
铃,колокольчик,,
铅,свинец,,
缺,недоставать,,
氧,оксигемоглобин,,
氨,аминоспирт,,
特,специальный,,
牺,жертва,жертвенное животное,
造,строить,,
乘,ехать,умножать,
敌,враг,,
秤,весы,,
租,налог,,
积,накапливать,,
秧,рисовая рассада,,
秩,порядок,,
称,взвешивать,,
秘,тайный,,
透,проникать,,
笔,кисть,,
笑,смеяться,,
笋,побег бамбука,,
债,долг,,
借,брать взаймы,,
值,стоить,,
倚,опираться,,
俺,мой,,
倾,наклоняться,,
倒,падать,переворачивать,
倘,если,,
俱,все,,
倡,выдвигать,,
候,ждать,,
赁,сдавать,,
俯,опустить голову,,
倍,удваиваться,,
倦,усталый,уставать,
健,здоровый,,
臭,вонючий,,
射,стрелять из лука,,
躬,тело,,
息,дышать,,
倔,этот человек слишком упрям,,
徒,идти пешком,,
徐,медленно,,
殷,большой,,
舰,корабль,,
舱,отсек,,
般,сорт,,
航,плоскодонное судно,,
途,путь,,
拿,брать,,
耸,поощрять,,
爹,отец,,
舀,вычерпывать,,
爱,любить,,
豺,красный волк,,
豹,леопард,,
颁,публиковать,,
颂,восхвалять,,
翁,старик,,
胰,мыло,,
脆,хрупкий,,
脂,смазывать жиром,,
胸,грудь,,
胳,рука,,
脏,грязный,,
脐,биол. пупок,,
胶,клей,,
脑,мозг,,
脓,гной,,
逛,гулять,,
狸,енотовидная собака,,
狼,волк,,
卿,сановник,,
逢,встретиться с,,
鸵,страус,,
留,оставаться,,
鸳,мандаринская утка,,
皱,морщина,,
饿,голод,,
馁,голодать,,
凌,льдинка,,
凄,холодный,,
恋,любить,,
桨,весло,,
浆,густая жидкость,,
衰,дряхлеть,,
衷,середина,,
高,высокий,,
郭,внешняя стена,,
席,циновка,,
准,уровень,,
座,сиденье,,
症,заболевание,,
病,болезнь,,
疾,болезнь,,
斋,пост,,
疹,сыпь,,
疼,болезненный,,
疲,утомляться,,
脊,позвоночник,,
效,стараться,,
离,разлучаться,,
紊,упорядоченный,,
唐,Танская династия,,
瓷,фарфор,,
资,средства,,
凉,прохладный,,
站,стоять на ногах,,
剖,взрезать,,
竞,бороться,,
部,часть,,
旁,сторона,,
旅,бригада,,
畜,домашнее животное,,
阅,читать,,
羞,стыдиться,,
羔,ягнёнок,,
瓶,бутылка,,
拳,кулак,,
粉,порошок,,
料,сырьё,,
益,польза,,
兼,объединять,,
烤,греть,,
烘,греть,,
烦,надоедать,,
烧,гореть,,
烛,свеча,,
烟,дым,,
烙,адить,,
递,передавать,,
涛,грохот волн,,
浙,провинция Чжэцзян,,
涝,большая волна,,
浦,берег,,
酒,спиртное,,
涉,переходить вброд,,
消,растворяться,,
涡,водоворот,,
浩,безбрежный,,
海,море,,
涂,ина,,
浴,купаться,,
浮,плавать,,
涣,/наречие,,
涤,мыть,,
流,течь,,
润,увлажняться,,
涧,ручей,,
涕,слёзы,,
浪,волна,,
浸,вымачивать,,
涨,повышаться,,
烫,обжигать,,
涩,шероховатый,,
涌,клокотать,,
悖,нарушать,,
悟,постигнуть,,
悄,безмолвный,,
悍,дерзкий,,
悔,раскаиваться,,
悯,печалиться,,
悦,радоваться,,
害,вред,,
宽,широкий,,
家,семья,,
宵,ночь,,
宴,пир,,
宾,гость,,
窍,отверстие,,
窄,узкий,,
容,вмещать в себя,,
宰,канцлер,,
案,узкий длинный стол,,
请,просить,,
朗,ясный,,
诸,все,,
诺,да!,,
读,читать,,
扇,веер,,
诽,клеветать,,
袜,чулки,,
袖,рукав,,
袍,халат,,
被,показатель пассива,одеяло,лексическое и грамматическое употребление
祥,знамение,,
课,урок,,
冥,мрак,,
谁,вопросительное и относительное местоимение,,
调,регулировать,мелодия; тон,
冤,обиженный напрасно,,
谅,полагать,,
谆,настойчивый,,
谈,беседовать,,
谊,дружба,,
剥,сдирать кожу,,
恳,просить,,
展,развёртываться,,
剧,острый,,
屑,крошка,,
弱,слабый,,
陵,холм,,
祟,нечистая сила,,
陶,керамика,,
陷,проваливаться,,
陪,быть,,
娱,радоваться,,
娟,прелестная наружность,,
恕,извинять,,
娥,прекрасный,,
娘,девушка,,
通,проходить,,
能,мочь,,
难,трудный,бедствие,
预,заранее,,
桑,шелковица белая,,
绢,рисовать на шёлке,,
绣,вышивать,,
验,осматривать,,
继,продолжаться,,
骏,быстроногий конь,,
球,шар,,
琐,маленький,,
理,упорядочивать,,
琉,блестящий камень,,
琅,белый нефрит,,
捧,принимать в обе руки,,
堵,стена,,
措,класть,,
描,рисовать,,
域,граница,,
捺,поставить отпечаток пальца вместо печати,,
掩,прикрывать рукой,,
捷,военная победа,,
排,ставить в ряд,,
焉,служебное местоимение книжного языка,,
掉,падать,,
捶,бить бельё,,
赦,амнистировать,,
堆,куча,,
推,толкать,,
埠,пристань,,
掀,снимать,,
授,давать,,
捻,катать,,
教,учить,религия,
掏,вынимать,,
掐,хватать,,
掠,хватать,,
掂,прикинуть вес,,
培,обкладывать землёй,,
接,получать,,
掷,бросать,,
控,натягивать,,
探,искать,,
据,опираться на,,
掘,рыть,,
掺,смешивать,,
职,должность,,
基,фундамент,,
聆,слушать,,
勘,сверять,,
聊,болтать,,
娶,он ещё не женат,,
著,очевидный,,
菱,рогульник,,
勒,сдерживать,,
黄,жёлтый,,
菲,ароматный,,
萌,почка,,
萝,обвитое плющом окно,,
菌,грибок,,
萎,засыхать,,
菜,овощи,,
萄,виноград,,
菊,хризантема,,
菩,употребляется главным образом в 菩萨 «бодхисаттва»,,
萍,ряска,,
菠,шпинат,,
萤,светлячок,,
营,заниматься,,
乾,Цянь,сухой,
萧,полынь,,
萨,бодхисаттва,,
菇,гриб,,
械,орудие труда,,
彬,воспитанный,,
梦,сон,,
婪,алчный,,
梗,стебель,,
梧,только в соч,,
梢,вершина,,
梅,дикая слива,,
检,проверять,,
梳,расческа,,
梯,лестница,,
桶,ведро,,
梭,челнок,,
救,спасать,,
曹,компания,,
副,заместитель,,
票,билет,,
酝,бродить,,
酗,буйствовать в пьяном виде,,
厢,флигель,,
戚,боевой топор,,
硅,кремнистый малахит,,
硕,не бывает человека,,
奢,расточительный,,
盔,шлем,,
爽,приятный,,
聋,ухой,,
袭,нападать из-за угла,,
盛,полный,,
匾,горизонтальная доска с надписью,,
雪,снег,,
辅,помогать,,
辆,одна повозка,,
颅,череп,,
虚,пустой,,
彪,мелкий тигр,,
雀,воробей,,
堂,зал,,
常,постоянный,,
眶,глазница,,
匙,ложка,,
晨,утро,,
睁,аза не открываются,,
眯,щуриться,,
眼,око,,
悬,висеть,,
野,провинция,,
啪,хлоп! - и,,
啦,подчёркивающая,,
曼,широкий,,
晦,последний день лунного месяца,,
晚,вечер,,
啄,клевать,,
啡,кофе,,
距,отстоять от,,
趾,пальцы,,
啃,грызть,,
跃,прыгать,,
略,план,,
蚯,дождевой червь,,
蛀,ый червь,,
蛇,змея,,
唬,не запугивай меня,,
累,уставший,накапливать,
鄂,Э,,
唱,петь,,
患,болеть,,
啰,звук пения без слов,,
唾,плевать,,
唯,только,,
啤,пиво,,
啥,в чём дело?,,
啸,свистеть,,
崖,скала,,
崎,извилистый берег,,
崭,высокий,,
逻,обходить дозором,,
崔,высокий,,
帷,полог,,
崩,обрушиться,,
崇,высокий,,
崛,высокий,,
婴,младенец,,
圈,кольцо,,
铐,наручники,,
铛,сковорода,,
铝,ион алюминия,,
铜,медный,,
铭,вырезывать,,
铲,заступ,,
银,серебро,,
矫,выпрямлять,,
甜,сладкий,,
秸,солома,,
梨,груша,,
犁,плуг,,
秽,сорная трава,,
移,переселяться,,
笨,тупой,,
笼,клетка,,
笛,флейта,,
笙,губной органчик,,
符,верительная бирка,,
第,порядковый показатель,номер,
敏,проворный,,
做,сделать,,
袋,холщовый мешок,,
悠,опечаленный,,
偿,возвращать,,
偶,статуя,,
偎,прижиматься,,
偷,обворовать,,
您,После Вас!,,
售,продавать,,
停,останавливаться,,
偏,однобокий,,
躯,бренная оболочка и жизнь человека,,
兜,каска,,
假,ложный,,
衅,мазать жертвенной кровью сосуды,,
徘,только в сочетании,,
徙,переселяться,,
得,получать,нужно,полифония dé / děi / de
衔,удила,,
盘,плошка,,
舶,морская джонка,,
船,лодка,,
舵,тебе нужно твёрдо держать руль,,
斜,косой,,
盒,одна] коробочка мази,,
鸽,голубь мира,,
敛,собирать,,
悉,офиц. знать,,
欲,желать,,
彩,цвет,,
领,шея,,
脚,нога,,
脖,шея,,
脯,сушеное мясо,,
豚,поросёнок,,
脸,лицо,,
脱,сбрасывать кожу,,
象,слон,,
够,хватать,,
逸,бежать,,
猜,гадать,,
猪,свинья,,
猎,охотиться,,
猫,кот,,
凰,птицы] фениксы,,
猖,в бешенстве неистовствовать,,
猛,свирепый,,
祭,молиться,,
馅,видна начинка,,
馆,подворье,,
凑,собираться,,
减,уменьшать,,
毫,волосок,,
烹,варить,,
庶,многочисленный,,
麻,конопля,,
庵,соломенная хижина,,
痊,проходить,,
痒,желание чесаться,,
痕,шрам,,
廊,галерея,,
康,мир,,
庸,простой,,
鹿,олень,,
盗,грабитель,,
章,ава,,
竟,оканчиваться,,
商,обсуждать,,
族,род,,
旋,крутиться,,
望,смотреть издали,,
率,норма,вести; возглавлять,
阎,деревенские ворота,,
阐,открывать,,
着,носить,показатель длительности,полифония zháo / zhe / zhuó
羚,антилопа,,
盖,накрывать,,
眷,семья,,
粘,клеить,,
粗,грубый,,
粒,зерно,,
断,разрубать,,
剪,резать,,
兽,не войдя в звериное логово,,
焊,запаять дно у чайника,,
焕,сиять,,
清,чистый,,
添,добавить,,
鸿,гуменник,,
淋,намокать,,
涯,берег,,
淹,мокнуть,,
渠,водоотводная канава,,
渐,постепенно,,
淑,чистый,,
淌,течь,,
混,смешиваться,,
淮,р. Хуайхэ,,
淆,загрязняться,,
渊,пучина,,
淫,развратный,,
渔,ловить рыбу,,
淘,промывать,,
淳,без примеси,,
液,сок,,
淤,отложения,,
淡,слабый,,
淀,осадок,,
深,убокий,,
涮,полоскать,,
涵,содержать в себе,,
婆,старуха,,
梁,мост,,
渗,просачиваться,,
情,чувство,,
惜,жалеть,,
惭,устыдиться,,
悼,печалиться,,
惧,бояться,,
惕,держаться осмотрительно,,
惟,думать,,
惊,испугаться,,
惦,беспокоиться,,
悴,убиваться,,
惋,без конца досадовать и вздыхать,,
惨,жестокий,,
惯,привыкать,,
寇,грабить,,
寅,инь,,
寄,жить,,
寂,тихий,,
宿,останавливаться на ночлег,,
窒,заваливать,,
窑,гончарная печь,,
密,тайный,,
谋,строить планы,,
谍,разведывать,,
谎,ложь,,
谐,гармонировать,,
袱,узелок,,
祷,молиться о,,
祸,беда,,
谓,говорить,,
谚,пословица,,
谜,загадка,,
逮,хватать,,
敢,сметь,,
尉,воинское звание,офицер,
屠,убивать,,
弹,пуля,,
隋,Суй,,
堕,падать,,
随,следовать за,,
蛋,яйцо,,
隅,угол,,
隆,высокий,,
隐,прятаться,,
婚,брак,,
婶,тётка,,
婉,приветливый,,
颇,очень,,
颈,горло,,
绩,заслуга,,
绪,конец нити,,
续,продолжаться,,
骑,ехать верхом,,
绰,обильный,,
绳,верёвка,,
维,вязать,,
绵,шелковая вата,,
绷,стягивать,,
绸,шёлковая материя,,
综,сплетаться,,
绽,распороться,,
绿,зелёный,,
缀,шить,,
巢,гнездо,,
琴,цинь,,
琳,превосходные сорта яшмы,,
琢,гранить,,
琼,красная яшма,,
斑,крапинка,,
替,отменять,,
揍,бить,,
款,сумма,,
堪,мочь,,
塔,пагода,,
搭,строить,,
堰,дамба,,
揩,вытирать,,
越,переходить,,
趁,воспользоваться,,
趋,быстро идти,,
超,перешагнуть через,,
揽,брать в руки,,
堤,дамба,,
提,поднимать,,
博,широкий,,
揭,поднимать,,
喜,радостный,,
彭,Пэн,,
揣,ощупывать,,
插,вставлять,,
揪,хватать,,
搜,искать,,
煮,варить,,
援,тянуть,,
搀,поднимать,,
裁,кроить,,
搁,класть,,
搓,тереть,,
搂,собирать,,
搅,мешать,,
壹,один,,
握,держать,,
搔,чесать,,
揉,тереть,,
斯,этот,,
期,время,,
欺,обманывать,,
联,соединяться,,
葫,лук причесночный,,
散,расходиться,,
惹,вызывать,,
葬,хоронить,,
募,вербовать,,
葛,пуэрария,Гэ (фамилия),
董,надзирать,,
葡,сокр. 葡萄牙,,
敬,почитать,,
葱,дудчатый лук,,
蒋,водяной рис,,
蒂,плодоножка,,
落,опадать,,
韩,царство Хань,,
朝,в сторону,династия; двор,
辜,вина,,
葵,подсолнечник,,
棒,палка,,
棱,грань,,
棋,шахматы,,
椰,кокосовая пальма,,
植,сажать,,
森,лес,,
焚,сжигать,,
椅,стул,,
椒,перечное дерево,,
棵,одна] травинка,,
棍,палка,,
椎,молот,,
棉,хлопчатник,,
棚,навес,,
棕,пальма,,
棺,гроб,,
榔,ало,,
椭,продолговатый,,
惠,доброта,,
惑,сомневаться,,
逼,вынуждать,,
粟,просо итальянское,,
棘,жужуб,,
酣,пьяный,,
酥,масло,,
厨,кухня,,
厦,здание,,
硬,твёрдый,,
硝,селитра,,
确,точный,,
硫,сера,,
雁,гусь белолобый,,
殖,родиться,,
裂,разорваться,,
雄,петух,,
颊,обе щеки залиты румянцем,,
雳,гром,,
暂,пока,,
雅,изысканный,,
翘,торчать,,
辈,поколение,,
悲,скорбеть,,
紫,фиолетовый,,
凿,долото,,
辉,очать свет,,
敞,широкий,,
棠,груша,,
赏,жаловать,,
掌,ладонь,,
晴,солнечный,,
睐,раскосый,,
暑,жара,,
最,очень,,
晰,ясный,,
量,мера,,
鼎,жертвоприношений,,
喷,извергать,,
喳,согласия,,
晶,горный хрусталь,,
喇,в звукоподр,,
遇,встречаться,,
喊,громко кричать,,
遏,останавливать,,
晾,сушить,,
景,свет,,
畴,поле,,
践,топтать,осуществлять; выполнять,
跋,наступать,,
跌,оступаться,,
跑,бегать,,
跛,прихрамывать,,
遗,терять,,
蛙,лягушка,,
蛛,паук,,
蜓,стрекоза,,
蜒,извиваться,,
蛤,мактра,,
喝,пить,,
鹃,кукушка,,
喂,кормить,,
喘,и тяжело дышать,,
喉,горло,,
喻,понимать,,
啼,плакать,,
喧,громко разговаривать,,
嵌,заполнять,,
幅,полотнище,,
帽,головной убор,,
赋,поземельный налог,,
赌,играть в азартные игры,,
赎,выкупать,,
赐,жаловать,,
赔,возмещать,,
黑,чёрный,,
铸,отливать,,
铺,расставлять,,
链,цепь,,
销,плавиться,,
锁,замок,,
锄,мотыга,,
锅,котёл,,
锈,налёт на металле,,
锋,остриё,,
锌,цинковые сплавы,,
锐,острый,,
甥,племянник,,
掰,разрывать,,
短,короткий,,
智,мудрость,,
氮,азотные удобрения,,
毯,ковёр,,
氯,гидрат хлора,,
鹅,гусь,,
剩,остаток,,
稍,немного,,
程,мера,,
稀,редкий,,
税,налог,,
筐,корзина,,
等,ранг,,
筑,строить,,
策,книга,,
筛,сито,,
筒,трубка,,
筏,плот,,
答,отвечать,,
筋,мускул,,
筝,гетера,,
傲,заносчивый,,
傅,учить,,
牌,номерная дощечка,,
堡,крепость,,
集,собирать,,
焦,гореть,,
傍,опираться,,
储,скапливаться,,
皓,светлый,,
皖,ясный,,
粤,Гуандун,,
奥,юго-западный угол,,
街,улица,,
惩,наказывать,,
御,править,,
循,слушаться,,
艇,подводная лодка,,
舒,удобный,,
逾,переходить через,,
番,раз,,
释,развязывать,,
禽,птицы,,
腊,двенадцатый лунный месяц,вяленое мясо,
脾,анат. селезёнка,,
腋,подмышки,,
腔,полость,,
腕,анат. запястье,,
鲁,тупой,,
猩,багрово-красный,,
猬,ёж,,
猾,хитрый,,
猴,мартышка,,
惫,усталый,,
然,согласие,,
馈,дарить,,
馋,жадный,,
装,надевать,,
蛮,* мань,,
就,продвигаться к,,
敦,добрый,,
斌,гармоничный,,
痘,прививать оспу,,
痢,кровавый понос,,
痪,паралич,,
痛,болеть,,
童,подросток,,
竣,кончать,,
阔,широкий,,
善,хороший,,
翔,летать,,
羡,жаждать,,
普,повсеместный,,
粪,кал,,
尊,уважаемый,,
奠,преподносить,,
道,путь,,
遂,продвигаться,,
曾,уже некогда,,
焰,пламя,,
港,порт,,
滞,останавливаться,,
湖,озеро,,
湘,река Сянцзян,,
渣,выжимки,,
渤,огромный,,
渺,необъятный,,
湿,промачивать,,
温,тёплый,,
渴,жаждать,,
溃,прорываться,,
溅,брызгать,,
滑,скользкий,,
湃,бурлить,,
渝,изменяться,,
湾,залив,,
渡,переправляться,,
游,плавать,,
滋,прибывать,,
渲,капать,,
溉,ирригация,,
愤,гневаться,,
慌,терять самообладание,,
惰,трудолюбивый или ленивый,,
愕,в испуге оглянуться,,
愣,остолбенеть,,
惶,в панике смешаться,,
愧,стыд,,
愉,наслаждаться,,
慨,вздыхать,,
割,резать,,
寒,холодный,,
富,богатый,,
寓,жить,,
窜,спрятаться,,
窝,гнездо,,
窖,погреб,,
窗,окно,,
窘,узкий,,
遍,распространяться повсюду,,
雇,нанимать,,
裕,изобильный,,
裤,штаны,,
裙,юбка,,
禅,о для жертвоприношения,,
禄,жалованье,,
谢,благодарить,,
谣,народная песня,,
谤,клеветать,,
谦,скромный,,
犀,носорог,,
属,принадлежать,,
屡,неоднократно,,
强,сильный,заставлять,
粥,жидкая каша,,
疏,расчищать,,
隔,отстоять,,
隙,трещина,,
隘,узкий,,
媒,сват,,
絮,старый хлопок,,
嫂,невестка,,
媚,льстить,,
婿,зять,,
登,подниматься,,
缅,далёкий,,
缆,канат,,
缉,шить мелкими стежками,,
缎,эта одежда оторочена атласной каймой,,
缓,лить,,
缔,крепко связывать,,
缕,нить,,
骗,обманывать,,
编,плести,,
骚,беспокоиться,,
缘,кайма,,
瑟,гусли,,
鹉,попугай,,
瑞,скипетр,,
瑰,великие идеи,,
瑙,агат,,
魂,душа,,
肆,отпускать,,
摄,брать,,
摸,щупать,,
填,заполнять,,
搏,ударять рукой,,
塌,рушиться,,
鼓,барабан,,
摆,расставлять,,
携,носить,,
搬,переезжать,,
摇,трясти,,
搞,заниматься,,
塘,плотина,,
摊,раскладывать,,
聘,приглашать,,
斟,разливать,,
蒜,чеснок,,
勤,стараться,,
靴,подошва сапога слишком толста,,
靶,мишень,,
鹊,сорока,,
蓝,голубой,,
