Иероглиф,Основное значение,Дополнительное значение,Примечание
发,отправлять,волосы,упрощение 發 / 髮
圣,гениальный,,
对,правильный,,
台,земляная терраса,,
矛,древко протазана,,
纠,обматывать,,
母,матушка,,
幼,младенческий,,
丝,шелковинка,,
邦,государство,,
式,образец,,
迂,далёкий,,
刑,наказание,,
戎,оружие,,
动,двигаться,,
扛,нести,,
寺,буддийский храм,,
吉,счастье,,
扣,удерживать,,
考,познавать,,
托,подносить,,
老,старый,,
巩,перевязывать,,
圾,мусор,,
执,брать,,
扩,расширять кооператив,,
扫,и,,
地,земля,наречная частица,лексическое и служебное употребление
场,площадь,,
扬,поднимать,,
耳,ухо,,
芋,таро,,
共,совместно,,
芒,ость,,
亚,уступать,,
芝,трутовик,,
朽,гнить,,
朴,простой,,
机,пусковой механизм,,
权,власть,,
过,проходить,слишком,лексическое и грамматикализованное употребление
臣,вассал,,
吏,чиновник,,
再,снова,,
协,сотрудничать,,
西,запад,,
压,давить,,
厌,пресыщаться,,
戌,одиннадцатый из двенадцати циклических знаков,,
在,жить,,
百,сто,,
有,обладать,,
存,вклад,,
而,и,но,
页,лист,,
匠,столяр,,
夸,хвалить,,
夺,отнимать силой,,
灰,зола,,
达,достигать,,
列,комп. столбцы,,
死,умереть,,
成,заканчиваться,,
夹,сжимать,,
夷,этн. и,,
轨,колея,,
邪,злой,,
尧,высокий,,
划,проводить черту,,
迈,ступать,,
毕,заканчивать,,
至,доходить,,
此,этот,,
贞,прямой,,
师,наставник,,
尘,пыль,,
尖,остриё,,
劣,плохой,,
光,свет,,
当,быть,когда,полифония dāng / dàng
早,утро,,
吁,ах!,,
吐,блевотина,,
吓,гневаться,,
虫,насекомые,,
曲,кривой,,
团,дружина,,
吕,люй,,
同,одинаковый,,
吊,оплакивать,,
吃,есть,,
因,причина,,
吸,вдыхать,,
吗,конечная частица вопросительных предложений,,
吆,громко кричать,,
屿,острова,,
屹,высокий,,
岁,год,,
帆,парус,,
回,вращаться,,
岂,выражает риторический вопрос,,
则,пример,,
刚,твёрдый,,
网,сеть,,
肉,мясо,,
年,год,,
朱,красная краска,,
先,прежний,,
丢,потерять,,
廷,двор,,
舌,язык,,
竹,бамбук,,
迁,переселяться,,
乔,высокий,,
迄,доходить,,
伟,великий,,
传,передавать,биография,
乒,вдалеке раздался звук удара,,
乓,понг,,
休,прекращаться,,
伍,пять,,
伏,лежать ничком,,
优,превосходный,,
臼,толчея,,
伐,нападать,,
延,растягиваться,,
仲,средний из братьев,,
件,одно] дело,,
任,носить в охапке,,
伤,рана,,
价,цена,,
伦,основы морали,,
份,часть,,
华,цветущий,,
仰,запрокинуть голову,,
仿,подражать,,
伙,стол,,
伪,ненастоящий,,
自,сам,,
伊,этот,,
血,кровь,,
向,поворачиваться к,,
似,быть похожим,,
后,после,сзади,后 и 後 различаются в традиционном письме
行,идти,профессия; ряд,полифония xíng / háng
舟,лодка,,
全,полный,,
会,уметь,собрание,
杀,убивать,,
合,закрывать,,
兆,предзнаменование,,
企,вставать на носки,,
众,толпа,,
爷,отец,,
伞,зонт,,
创,основывать,,
肌,мускул,,
肋,рёбра левой стороны,,
朵,счётное слово для цветов,,
杂,смешанный,,
危,опасный,,
旬,декада,,
旨,стремление,,
旭,взошедшее солнце,,
负,нести на плечах,,
匈,Венгрия,,
名,имя,,
各,каждый,,
多,много,,
争,бороться,,
色,цвет,,
壮,здоровый,,
冲,рваться вперёд,,
妆,наносить макияж,,
冰,лёд,,
庄,поля,,
庆,праздновать,,
亦,аналогично,,
刘,геогр. Лю,,
齐,ровный,,
交,передавать,,
衣,одежда,,
次,очередь,,
产,рожать,,
决,прорываться,,
亥,хай,,
充,наполнять,,
妄,абсурдный,,
闭,закрывать,,
问,спрашивать,,
闯,врываться,,
羊,баран,,
并,стоять рядом,,
关,закрывать,,
米,обрушенный рис,,
灯,уличный фонарь,,
州,окружной центр,,
汗,пот,,
污,грязный,,
江,река,,
汛,поливать,,
池,пруд,,
汝,ты,,
汤,кипящая вода,,
忙,спешный,,
兴,подъём,,
宇,стреха крыши,,
守,охранять,,
宅,жилище,,
字,цзы,,
安,спокойный,,
讲,говорить,,
讳,не называть,,
军,рать,,
讶,изумляться,,
许,разрешать,,
讹,ошибка,,
论,говорить,,
讼,тяжба,,
农,земледелие,,
讽,декламировать на память,,
设,учреждать,,
访,навещать,,
诀,расставаться,,
寻,искать,,
那,указательное,,
迅,вихрь,,
尽,заканчивать,,
导,направлять,,
异,иной,,
弛,отпустить,,
孙,внук,,
阵,строй,,
阳,филос. ян,,
收,получать,,
阶,ступени,,
阴,филос. инь,,
防,предупреждать,,
奸,зло,,
如,походить на,,
妇,замужняя женщина,,
妃,императорская наложница,,
好,хороший,,
她,он любит её,,
